candidate_id,segment_id,split,stage,run_id,source_path,source_row_index,master_time_us,dt_s,left_command,right_command,left_wheel_rate_radps,right_wheel_rate_radps,fan_duty_cycle,px_m,py_m,heading_rad,vf_mps,vr_mps,yaw_rate_radps,delta_af_mps2,delta_ar_mps2,delta_yaw_accel_radps2,predicted_forward_accel_mps2,predicted_right_accel_mps2,predicted_yaw_accel_radps2,measured_yaw_rate_radps,measured_forward_accel_mps2,measured_right_accel_mps2,yaw_rate_residual_radps,forward_accel_residual_mps2,right_accel_residual_mps2,max_contact_relative_speed_mps,load_weighted_contact_relative_speed_mps,load_weighted_lateral_relative_speed_mps,load_weighted_yaw_contact_speed_mps,max_contact_utilization,max_contact_saturation,total_normal_load_n,ground_use
candidate_2_stribeck,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,0,0,0.001,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.932931,0
candidate_2_stribeck,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,1,1000,0.001,0.18,0.18,2.2,2.2,0.8,4.5178649271e-07,3.78138450745e-05,9.20837030843e-06,0.0204590032189,0.000198551423002,0.00973232517965,0.002911575851,0.00188474963259,0.207855221128,3.16418504915,0.0302402641289,-1.40120590466,0.012,1.85,0.03,0.00226767482035,-1.31418504915,-0.000240264128917,0.00770244543969,0.00729874581029,0.000245009766797,0.000436148623963,0.13733385622,0,1.932931,0
candidate_2_stribeck,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,2,2000,0.001,0.18,0.18,4.6,4.6,0.8,6.38716665372e-06,8.63998168064e-05,2.95042459029e-05,0.0401323375211,0.00160355464583,0.034969314048,0.0966825667943,0.0172430462652,-0.609061664944,5.32456532101,0.170632766364,-13.8676258912,0.018,2.75,0.06,-0.016969314048,-2.57456532101,-0.110632766364,0.019469173141,0.0180137473661,0.00168446859325,0.00156712994289,0.258596193238,0,1.932931,0
candidate_2_stribeck,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,3,3000,0.001,0.22,-0.22,4,-4,0.8,6.07391384254e-05,9.75486291086e-05,0.000797494208738,0.0240597609722,0.0108277935522,0.733234065313,-0.699110195882,0.462348291264,30.9326527636,0.103362760959,-11.1560324782,287.265905665,1.06,0.2,1.55,0.326765934687,0.0966372390406,12.7060324782,0.0485608719244,0.0344946807712,0.0153039118376,0.0328594680845,0.87562242521,0,1.932931,0
candidate_2_stribeck,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,4,4000,0.001,0.9,0.9,10,10,0.8,6.31158127632e-05,0.000140056632767,0.000953993753108,0.0443907680705,0.00721396956279,0.459072642849,0.261831850824,-0.11410363924,-25.929183061,15.8966175667,-0.73022336924,-29.0512238297,0.03,30,0,-0.429072642849,14.1033824333,0.73022336924,0.10209841648,0.0845676743634,0.00989404626358,0.0205730796887,2.85419392689,0.649638382809,1.932931,0.271061773856
candidate_3_load_sensitive,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,0,0,0.001,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.932931,0
candidate_3_load_sensitive,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,1,1000,0.001,0.18,0.18,2.2,2.2,0.8,2.51687055529e-06,3.65417521613e-05,1.15382918e-05,0.0201383046164,0.00109747273425,0.00416217741662,0.0230378382811,-0.0165240092064,0.533878913182,3.32631585437,0.0302324734651,-4.09847838222,0.012,1.85,0.03,0.00783782258338,-1.47631585437,-0.000232473465112,0.00786566567638,0.00768431706995,0.00109614657301,0.00018652561638,0.141183293339,0,1.932931,0
candidate_3_load_sensitive,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,2,2000,0.001,0.18,0.18,4.6,4.6,0.8,1.23510751648e-05,6.87719887145e-05,6.78192652683e-05,0.0430679659496,0.00303991293127,0.0164190047034,0.00560348060866,-0.0349201519708,0.590550542999,4.83952569543,0.169118837849,-20.3120862045,0.018,2.75,0.06,0.00158099529663,-2.08952569543,-0.109118837849,0.0159736654439,0.015259551889,0.00303755686847,0.000735808368095,0.236577224012,0,1.932931,0
candidate_3_load_sensitive,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,3,3000,0.001,0.22,-0.22,4,-4,0.8,0.000128006891792,7.56196056767e-05,0.00102056088194,0.0255630571278,0.0224219979861,0.634749901054,-0.302475802753,-0.0530393926308,54.5836338398,-0.523655396006,-15.8269714002,336.487590742,1.06,0.2,1.55,0.425250098946,0.723655396006,17.3769714002,0.0585251837002,0.0424125800564,0.0242982209828,0.0284459562124,1.17977466408,0.152380509223,1.932931,0
candidate_3_load_sensitive,smoke_segment_001,train,smoke,smoke,C:\Users\thene\source\repos\MicroMouse2025\staging\traction_candidate_rms_nis_testbed\smoke_sensor_log.csv,4,4000,0.001,0.9,0.9,10,10,0.8,8.90528859639e-05,0.000124991542926,0.00106238804183,0.0456058590763,0.0107139870044,0.402393144669,0.132305264793,-0.348770345913,-4.05629168935,14.9591849827,-0.319979418572,-55.9325963123,0.03,30,0,-0.372393144669,15.0408150173,0.319979418572,0.098933410552,0.0829837895799,0.0108859024219,0.0180330201776,3.3786824308,0.70402663746,1.932931,0.318840347571
