File,Line,Type,Members,Methods,PointerMembers,Lt15,NoMethods,Pointers,Disposition
MazeMap\MazeMap\ManeuverPath.cpp,10,CandidateMatch,4,0,0,True,True,False,accepted
MazeMap\MazeMap\MapEvidenceUpdater.h,13,EdgeEvidence,2,0,0,True,True,False,cleaned
MazeMap\MazeMap\MapEvidenceUpdater.h,20,MapEvidenceUpdaterConfig,6,0,0,True,True,False,cleaned
MazeMap\MazeMap\MazeMapRuntimeCore.h,572,MotionLimits,7,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,583,PoseEstimate,5,1,0,True,False,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,593,OpticalObservationTiming,5,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,602,ImuObservationTiming,3,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,609,WallSensorTelemetry,6,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,619,ImuTelemetry,9,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,632,SensorSnapshot,59,0,0,False,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,686,DriveTelemetry,32,0,0,False,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,739,EncoderProgressWatchdog,3,2,0,True,False,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,817,RawWallSensorSample,8,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,828,WallSensorCalibrationInput,7,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,838,RobustSignalBand,3,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,845,WallSensorCalibrationCapture,5,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,920,AveragedWallSensorInputWindow,7,3,0,True,False,False,blocked
MazeMap\MazeMap\MazeMapRuntimeCore.h,1011,AveragedBackLeftImuSample,6,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,2201,FrontSignalModelCache,3,0,0,True,True,False,blocked
MazeMap\MazeMap\MazeMapRuntimeCore.h,3127,AsyncWallSensorPairRead,10,0,2,True,True,True,blocked
MazeMap\MazeMap\MazeMapRuntimeCore.h,3147,AsyncWallSensorSweepRead,20,0,4,False,True,True,blocked
MazeMap\MazeMap\MazeMapRuntimeCore.h,3711,NamedCode,2,0,1,True,True,True,accepted
MazeMap\MazeMap\MazeMapRuntimeCore.h,4080,RollingObservationVoteSummary,9,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeInfrastructure.h,383,WallTouchObservation,8,0,0,True,True,False,blocked
MazeMap\MazeMap\MazeMapRuntimeInfrastructure.h,448,WallTouchExecutionResult,7,0,0,True,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeInfrastructure.h,459,WallTouchLoopState,82,0,0,False,True,False,accepted
MazeMap\MazeMap\MazeMapRuntimeInfrastructure.h,504,WallTouchLoopHooks,12,0,6,True,True,True,accepted
MazeMap\MazeMap\MazeMapRuntimeSignalHelpers.cpp,11,MapQualifiedSideWallReference,2,1,0,True,False,False,accepted
MazeMap\MazeMap\MazeRunningAuditController.cpp,217,InterRunServicePauseLoopState,0,0,0,True,True,False,cleaned
MazeMap\MazeMap\MazeRunningAuditController.cpp,221,QueuedManeuverLoopState,8,0,2,True,True,True,cleaned
MazeMap\MazeMap\MazeRunningAuditController.cpp,229,StartupStationaryHoldLoopState,8,0,0,True,True,False,cleaned
MazeMap\MazeMap\MazeRunningAuditController.cpp,237,FrontCalibrationSweepLoopState,22,0,1,False,True,True,cleaned
MazeMap\MazeMap\MissionModeController.cpp,169,InterRunServicePauseLoopState,0,0,0,True,True,False,cleaned
MazeMap\MazeMap\MissionModeController.cpp,173,QueuedManeuverLoopState,8,0,2,True,True,True,cleaned
MazeMap\MazeMap\MissionModeController.cpp,181,StartupStationaryHoldLoopState,8,0,0,True,True,False,cleaned
MazeMap\MazeMap\MissionModeController.cpp,189,ObservationCaptureLoopState,14,0,1,True,True,True,cleaned
MazeMap\MazeMap\MissionModeController.cpp,200,FrontCalibrationSweepLoopState,22,0,1,False,True,True,cleaned
MazeMap\MazeMap\MotorEncoderDrive.h,8,MotorEncoderDrivePhysicalModel,11,0,0,True,True,False,cleaned
MazeMap\MazeMap\MotorEncoderDrive.h,22,MotorEncoderDriveHardwareConfig,7,0,0,True,True,False,cleaned
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,266,PendingLog,14,0,0,True,True,False,cleaned
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,277,TimingBlockState,2,0,0,True,True,False,cleaned
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,282,StaticHoldState,4,0,0,True,True,False,cleaned
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,288,RecoveryState,12,1,0,True,False,False,cleaned
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,299,LaunchPulseState,16,0,0,False,True,False,accepted
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,331,SectionSettleState,10,0,0,True,True,False,accepted
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,345,TurnSectionState,10,0,0,True,True,False,accepted
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,354,SmoothTurnState,18,0,0,False,True,False,accepted
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,373,LaunchSequenceState,8,0,0,True,True,False,cleaned
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,381,StraightSequenceState,8,0,0,True,True,False,cleaned
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,389,YawSequenceState,8,0,0,True,True,False,cleaned
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,397,SmoothSequenceState,8,0,0,True,True,False,cleaned
MazeMap\MazeMap\OpenFloorMeasurementController.cpp,405,LoopSequenceState,10,0,0,True,True,False,accepted
MazeMap\MazeMap\OpenFloorMeasurementLabels.h,7,OpenFloorMeasurementLabels,9,0,0,True,True,False,blocked
MazeMap\MazeMap\OpenFloorMeasurementSpec.h,139,OpenFloorMarkerPose,5,0,1,True,True,True,accepted
MazeMap\MazeMap\OpenFloorMeasurementSpec.h,148,OpenFloorSectionDefinition,3,0,1,True,True,True,accepted
MazeMap\MazeMap\OpenFloorMeasurementSpec.h,155,OpenFloorPrimitiveDefinition,4,0,1,True,True,True,accepted
MazeMap\MazeMap\PlantModel.cpp,37,MotionMetrics,3,0,0,True,True,False,cleaned
MazeMap\MazeMap\PlantModel.cpp,44,ContactLoads,7,0,0,True,True,False,cleaned
MazeMap\MazeMap\PlantModel.cpp,55,PeakFrictionCoefficients,2,0,0,True,True,False,cleaned
MazeMap\MazeMap\PlantModel.cpp,61,SplitForceRequest,4,0,0,True,True,False,cleaned
MazeMap\MazeMap\PlantModel.cpp,69,RollingContactEvaluation,9,0,0,True,True,False,accepted
MazeMap\MazeMap\PlantModel.cpp,81,RollingStateEvaluation,4,0,0,True,True,False,cleaned
MazeMap\MazeMap\PlantModel.cpp,742,ModeTransition,12,0,0,True,True,False,accepted
MazeMap\MazeMap\PlantModel.cpp,758,VelocityTargetExactSolution,17,0,0,False,True,False,accepted
MazeMap\MazeMap\PlantModel.h,17,ContactKinematics,2,0,0,True,True,False,accepted
MazeMap\MazeMap\PlantModel.h,24,WheelKinematics,4,0,0,True,True,False,accepted
MazeMap\MazeMap\PlantModel.h,32,SlipTargets,4,0,0,True,True,False,accepted
MazeMap\MazeMap\PlantModel.h,40,ContactForce,4,0,0,True,True,False,accepted
MazeMap\MazeMap\PlantModel.h,49,ContactForces,2,4,0,True,False,False,accepted
MazeMap\MazeMap\PlantModel.h,92,PlantDerivatives,11,3,0,True,False,False,accepted
MazeMap\MazeMap\RuntimeSensorSuite.cpp,213,CaptureContext,10,0,4,True,True,True,cleaned
MazeMap\MazeMap\RuntimeSensorSuite.h,28,CaptureCallback,4,1,2,True,False,True,cleaned
MazeMap\MazeMap\RuntimeSensorSuite.h,72,FilteredIrChannel,3,0,0,True,True,False,accepted
MazeMap\MazeMap\SearchRunPlanner.h,11,SearchStraightPlan,4,1,0,True,False,False,blocked
MazeMap\MazeMap\SearchRunPlanner.h,23,SearchReplanResponse,3,0,0,True,True,False,blocked
MazeMap\MazeMap\SmoothTurnYawRateController.h,9,SmoothTurnYawRateControllerState,2,1,0,True,False,False,blocked
MazeMap\MazeMap\SrUkfCore.h,16,MeasurementUpdateResult,3,0,0,True,True,False,accepted
MazeMap\MazeMap\SrUkfCore.h,24,WallUpdateResult,4,0,0,True,True,False,accepted
MazeMap\MazeMap\SrUkfCore.h,31,FrontPairUpdateResult,6,0,0,True,True,False,accepted
MazeMap\MazeMap\SrUkfCore.h,49,ModeProcessNoiseTuning,7,0,0,True,True,False,accepted
MazeMap\MazeMap\SrUkfCore.h,60,RuntimeTuning,50,0,0,False,True,False,accepted
MazeMap\MazeMap\TractionLimitSweep.h,9,TurningTractionMetrics,5,0,0,True,True,False,accepted
MazeMap\MazeMap\TractionLimitSweep.h,17,TurningLaunchCommands,2,0,0,True,True,False,accepted
MazeMap\MazeMap\TurnWallEdgeTracker.h,5,TurnWallEdgeTracker,5,0,0,True,True,False,blocked
MazeMap\MazeMap\UKF.h,26,NoopUkfLoopHook,0,1,0,True,False,False,accepted
MazeMap\MazeMap\UKF.h,34,UkfStorageOrder,1,0,0,True,True,False,accepted
MazeMap\MazeMap\UKF.h,42,UkfFloatOps,0,8,0,True,False,False,accepted
MazeMap\MazeMap\UKF.h,173,SrUkfWeights,4,4,1,True,False,True,accepted
MazeMap\MazeMap\UKF.h,215,SrUkfMath,1,8,0,True,False,False,accepted
MazeMap\MazeMap\Vehicle.h,13,ArcTrackWidthInterpolation,4,0,0,True,True,False,accepted
MazeMap\MazeMap\Vehicle.h,20,VehiclePhysicalModel,9,0,0,True,True,False,accepted
MazeMap\MazeMap\VehicleState.h,26,SensorExtrinsics,1,2,0,True,False,False,accepted
MazeMap\MazeMap\VehicleState.h,34,ImuExtrinsics,1,2,0,True,False,False,accepted
MazeMap\MazeMap\VehicleState.h,43,ControlInput,4,0,0,True,True,False,accepted
MazeMap\MazeMap\VehicleState.h,51,EncoderObs,4,0,0,True,True,False,accepted
MazeMap\MazeMap\VehicleState.h,59,ImuObservation,4,0,0,True,True,False,accepted
MazeMap\MazeMap\VehicleState.h,70,ImuAccelObs,3,0,0,True,True,False,accepted
MazeMap\MazeMap\VehicleState.h,78,WallObs,4,0,0,True,True,False,accepted
MazeMap\MazeMap\WallBeliefMap.h,15,WallBeliefConfig,6,0,0,True,True,False,cleaned
MazeMap\MazeMap\WallBeliefMap.h,24,WallBeliefState,5,0,0,True,True,False,cleaned
MazeMap\MazeMap\WallBeliefMap.h,33,WallBeliefUpdate,6,0,0,True,True,False,cleaned
MazeMap\MazeMap\WallGeometryModel.h,23,GeometryPrediction,8,1,0,True,False,False,accepted
MazeMap\MazeMap\WallGeometryModel.h,40,GeometryStateFrame,2,2,0,True,False,False,accepted
MazeMap\MazeMap\WallObservationPipeline.h,24,WallEvidenceConfig,5,0,0,True,True,False,blocked
MazeMap\MazeMap\WallSensor.h,26,DistanceModel,5,0,0,True,True,False,accepted
MazeMap\MazeMap\WallSensorCalibration.h,17,Point,3,0,0,True,True,False,accepted
MazeMap\MazeMap\WallSensorPreprocessor.h,11,WallPreprocessorInput,7,0,0,True,True,False,cleaned
MazeMap\MazeMap\WallSensorPreprocessor.h,23,WallSensorPreprocessorConfig,13,0,0,True,True,False,cleaned
MazeMap\MazeMap\WallTouchRoutine.h,23,Hooks,4,1,1,True,False,True,accepted
MazeMap\MazeMap\WallTouchRoutine.h,70,SettleRoutineState,16,0,1,False,True,True,accepted
