"candidate_id","split","stage","log_parameter","parameter_field","parameter_value_kind","parameter_value","launch_command_signature","count","accepted_count","rejected_count","rejected_rate","rms_nis","sqrt_mean_nis","physical_residual_rms"
"candidate_1_algebraic_envelope","all","smooth","right_accel_nis","speed_mps","logged_speed_mps","0.4","pair=1,-1;mag=1;linear=0.40000000596;yaw=0","4244","110","4134","0.974081055608","704.294921528","25.2130201817","32.4699624746"
"candidate_1_algebraic_envelope","all","yaw_launch","yaw_rate_nis","drive_command_bin","logged_drive_command_bin","-0.8","pair=-0.8,0.8;linear=0;yaw=0.8","6000","6000","0","0","627.532120012","15.4696083695","0.725865755473"
"candidate_1_algebraic_envelope","all","straight","right_encoder_wheel_rate_nis","speed_mps","logged_speed_mps","0.55","pair=1,-1;mag=0.6089715;linear=0.550000011921;yaw=0","1095","1095","0","0","536.674471828","11.1685633636","11.4508264129"
"candidate_1_algebraic_envelope","all","straight","left_encoder_wheel_rate_nis","speed_mps","logged_speed_mps","0.55","pair=1,-1;mag=0.6089715;linear=0.550000011921;yaw=0","1095","1095","0","0","535.76992432","11.1441242324","11.43659049"
"candidate_1_algebraic_envelope","all","SEC_30_STRAIGHT","right_accel_nis","straight_speed_mps","legacy_straight_speed_bin_mps","0.55","pair=-1,-1;mag=0.250818;linear=-0.550000011921;yaw=0.114309363067","734","498","236","0.321525885559","448.870341052","14.9336343571","19.630716261"
"candidate_1_algebraic_envelope","all","yaw_launch","forward_accel_nis","drive_command_bin","logged_drive_command_bin","-0.8","pair=-0.8,0.8;linear=0;yaw=0.8","6000","1182","4818","0.803","445.593764399","17.150409279","23.0038554756"
"candidate_1_algebraic_envelope","all","SEC_30_STRAIGHT","forward_accel_nis","straight_speed_mps","legacy_straight_speed_bin_mps","0.55","pair=-1,-1;mag=0.2438395;linear=-0.550000011921;yaw=0.134794205427","750","538","212","0.282666666667","397.225131629","13.1599750405","17.9910055604"
"candidate_1_algebraic_envelope","all","yaw_launch","yaw_rate_nis","drive_command_bin","logged_drive_command_bin","0.8","pair=0.8,-0.8;linear=0;yaw=-0.8","6000","6000","0","0","393.948349218","12.7844058046","0.590812533179"
"candidate_1_algebraic_envelope","all","yaw_launch","forward_accel_nis","drive_command_bin","logged_drive_command_bin","-0.75","pair=-0.76,0.76;linear=0;yaw=0.76","6000","3315","2685","0.4475","389.793682667","13.2868906961","17.4068323963"
"candidate_1_algebraic_envelope","all","SEC_30_STRAIGHT","forward_accel_nis","straight_speed_mps","legacy_straight_speed_bin_mps","0.55","pair=1,1;mag=0.237663;linear=0.550000011921;yaw=-0.0940739512444","745","540","205","0.275167785235","387.827920842","12.7874563076","17.9638518237"
"candidate_1_algebraic_envelope","all","SEC_30_STRAIGHT","forward_accel_nis","straight_speed_mps","legacy_straight_speed_bin_mps","0.55","pair=-1,-1;mag=0.235262;linear=-0.550000011921;yaw=0.0632974095643","760","611","149","0.196052631579","383.769760659","11.5034416901","16.8332770387"
"candidate_1_algebraic_envelope","all","SEC_30_STRAIGHT","forward_accel_nis","straight_speed_mps","legacy_straight_speed_bin_mps","0.55","pair=1,1;mag=0.23121;linear=0.550000011921;yaw=-0.0882160365582","757","592","165","0.217965653897","362.506692099","11.4552140777","16.8203160231"
"candidate_1_algebraic_envelope","all","SEC_30_STRAIGHT","yaw_rate_nis","straight_speed_mps","legacy_straight_speed_bin_mps","0.55","pair=1,1;mag=0.23121;linear=0.550000011921;yaw=-0.0882160365582","757","757","0","0","362.457298235","8.59925937053","0.476842953331"
